id,category,name,owner,contact,address,city,cityCode,phone,noRooms,noBeds
234,"*","Gasthof zur Post","Palnsteiner Tara-Salome","Kordan Can","Annarotte 20","Annaberg","3222","2030781",34,136
468,"****","Gartenlofts auf Gut Guntrams","Koref Georges","von Gillern Maximilian-Zak","Guntrams 11a","Schwarzau","2625","4513153",16,75
355,"*","Ferienwohnung Wiesmüller","Kallwoda Rivana","Bezezny Deivis","Ober Neustift 19","Oberneustift","3920","0725617",2,1
619,"**","Zimmer mit Garten","Hauf Rik","Vondrus Yosof","Brunngasse 57","Poysdorf","2170","2251496",31,10
115,"***","Hotel Restaurant Wallner","Jacobovits Doura","Trantir Phinn","Westbahnstraße 58","Sankt","4300","7762020",2,4
328,"*","MÖRWALD Hotel Villa Katharina","Jenecek Hans-Dieter","Rokko Patrick-Jan","Kleine Zeile 13-17","Feuersbrunn","3483","7065314",35,64
331,"***","Gasthof Hotel Raymund","Fodor von Szala Jeanne","Schweikert Ryan-Cody","Pernersdorf 93","Pernersdorf","2052","6685459",19,37
67,"*","OEKOTEL Traiskirchen","Wrchotizky Wida","Dasek Bilegt","Hochmühlstrasse 5.","Traiskirchen","2514","9050008",11,62
693,"**","Blumenhof für die Gäste","Tardschek Eseohe","Wodcedalek Börteçine","Wultendorf 8","Staatz","2134","4754631",27,46
491,"*","Pension Marillenhof","Medelin Ümeyir","Hainzmann Rena","Johann-Steinböckstrasse 2","Melk","3390","5267739",42,44
428,"**","Landgasthof Sengstbratl","Ritter von Ehrenfeld-Pop Kadrije","Würth Anderson","Marktplatz 21","Wallsee","3313","3009065",43,199
564,"**","Roomantic Apartments","Rosulek Aysuna","Dillenz Roxana-Melissa","Schulgraben 10","Bromberg","2833","3993562",3,8
419,"**","Haus Feuchtl","Jankl Patrick-Christopher","Laudin Shira-Keira","Berggasse 11","Purkersdorf","3002","3315296",58,182
195,"****","Landhaus Stift Ardagger","Tamerlin Marilena","Spudich Nomi","Ardagger Stift 3","Ardagger","3321","4546560",13,19
393,"*","Hotel Widhof","Czap Yaşarcan","Kohu Dimitrije","Kerschbaumergasse 11","Tulln","3430","1004623",19,51
121,"**","Villa Neuwirth","Walser Clair","Seebach Natjana","Hadersfelderstraße 11","Greifenstein","3422","0701370",32,99
193,"**","WEINBLICK Grafinger","Künzel Richelle","Siegelbaum Santina-Joelle","74 Priel","Senftenberg","3541","7723041",46,11
230,"***","JUFA Weinviertel Hotel in der Eselsmühle","Rück Steffen","Reiser Wareesha","Seefeld 59-60","Seefeld-Kadolz","2062","3661595",54,114
86,"**","Hotel Mandl","Freiherr von Neumann Shuriano","Lassleben Coline","Ötscherweg 2","Lackenhof","3295","9931739",8,52
104,"**","Pension Parzer Pressbaum bei Wien","Brezik Lena-Sophie","Dowling Allaa","Hauptstraße 96","Pressbaum","3021","6614109",64,69
269,"**","Tour-Motel","Brazovay Ailia","Opic Beatrice-Anna","Wienerstraße 96","Wilfersdorf","2193","5106820",12,54
397,"*","Hotel Lenau","Kwarzewski Elena-Kristin","Kielenhofer Romelio","10 Josef Wolfik Straße","Stockerau","2000","7034872",75,310
314,"***","Frühstückspension Barbara","Voldan Aure","Smetka Hanna-Therese","Wienerstraße 4","Pöchlarn","3380","2950301",42,88
5,"****","Hotel Altes Kloster","Rekutzky Ronav","Pros Saskia-Larissa","Fabriksplatz 1","Hainburg","2410","5996682",50,428
188,"**","Hotel Elia","Mion Senaila","Schwartzer Ayleen","Triester Straße 77","Guntramsdorf","2353","9687461",29,191
545,"***","Hotel Stich","Rausmeyer Yuxiao","di Lenardo Ismigül","Wiener Strasse 15","Manhartsbrunn","2203","8110299",24,68
553,"**","Das gelbe Haus","Wanhal Leonie-Klaudia","von Payrhuber Takiri","Hocheichberg 24","Sankt","3051","6463495",59,502
422,"**","Nemetz-Motel","Hofstetter von Plazoll Milara","Merton Gisela","Betriebsstraße 19","Böheimkirchen","3071","3448485",20,27
181,"**","Schlosstaverne Lunz","Schiefert Assia","Meininger Franz-Jacob","Seehof 2","Lunz","3293","6200674",55,154
112,"****","Hotel Fahrnberger","Brhlik Drinor","Selvax Nico-Joel","Lassing 19","Göstling","3345","0448377",54,122
542,"*","Landzeit Autobahn-Restaurant Steinhäusl bei Wien","Diermaier Lidia","Tasser Yoel-Erne","Kleinberg 2","Altlengbach","3033","2966191",22,84
418,"*","Pension Haus Nova","Kronforst Abiba","Beitz Simone-Kassandra","Wasshubergasse 11","Wiener","2700","8517417",26,70
641,"**","Cafe Nove","Moratini Raha","Palasti Macy","Sonnwendgasse 14","Ternitz","2630","3989846",1,4
296,"*","Reiterbauernhof Schönlehenhof","Manhartsberger Hayze","Dellago Hannah-Larissa","Lehen 1","Mank","3240","7137567",16,6
286,"**","Gasthof zur Bruthenne","Janik Osman-Samuel","Mainig Christin-Marie","Maierhof 14","Weissenbach","2564","5494716",36,88
362,"**","Chalupub Gästehaus","Mulzer Leolwin","Bondracek Arko","Hauptstraße 64","Felixdorf","2603","7283631",31,126
623,"**","D&E Rooms","Holumschek Rojhan","Baronesse  Kohner de Szásberek Ivayla","Feldstraße 93","Schwechat","2322","8616727",60,298
473,"**","Pension Elisabeth","Zajicsek Defrim","Zimmerhansl Joas","Mariazellerstraße 164","St.","3100","3751275",18,137
590,"**","Gästezimmer Krappel","Ordioni Glory","Billhardt Nezihe","Hans Heppenheimerstraße 8","Rohrendorf","3495","2867577",44,195
304,"*","Weingut - Gästezimmer zum Schwalbennest","Münch Aysu","Zipf Iliryan","Hauptstrasse 73","Herrnbaumgarten","2171","7946569",15,72
365,"*","Gölsenhof - Fam. Büchinger","Elger von Frohberg Melanie-Christin","Kamloth Luca-Valentino","Perschenegg 5","Wald","3144","7729902",40,170
505,"**","Gästehaus zur weißen Rose","Botteri Jessica-May","Peczenka Esmee","Wiener Straße 41","Furth","3511","3858821",13,27
341,"****","Retzerlandhof Familie Graf","Feichtmayer Lukas-Emil","Beukert Hazret","Zellerndorf Nr. 174","Zellerndorf","2051","5462652",56,247
421,"*","Weinlodge Siedler","Pulicar Maho","Gaisberger Kario","Mauternbach 2","Mautern","3512","3640779",54,167
150,"**","Smart Motel","Guenther von Sternegg Nebahad","Zelnitius Maximilian-Hans","Andrea Scherney Straße 708 / Ecke Wiener Straße 113","Gars","3571","4836962",21,67
284,"*","Pension Merkinger","Kunte Nice","von Mierczynski Jutta","Ramingdorfstraße 1","Behamberg","4441","5935481",49,46
555,"**","Privatzimmer Langthaler","Zechetner Mia-Joeline","Auffenfeld Janna-Kirsten","Pöverding 10","Melk","3390","4449370",41,161
567,"*","Haus Wintesperger","Krumer Quilla","Janaczek Rayana","St. Georgen 4","Emmersdorf","3644","6630175",21,51
532,"*","Bruckerhof","Tomasko Getuard","Czaschka Semsedin","Schneebergstraße 23","Puchberg","2734","0330577",5,10
298,"*","Willi's Bauernhof","Dettler Jeiko","Zigiotti Delsa","Aichau 1","Leiben","3652","6171381",42,110
225,"*","Pension Laa Natura","Vanic Cesare-Corseu","Kapres Alizée","Joseph Lanner-Gasse 22","Laa","2136","2139672",2,6
380,"****","LOISIUM Wine & Spa Resort Langenlois","Patotzka Freio","Witousky Silvija","Loisium-Allee 2","Langenlois","3550","5989276",29,60
573,"****","Hotel Donauhof","Kuczkowska Radhika","Krizsanics Jean-Phillip","Haus Nr. 40","Emmersdorf","3644","2577020",4,11
50,"***","Sporthotel am Semmering","Cazzanolli Vanessa-Jennifer","Ratkovic Bituin","Carolusstraße 10","Semmering","2680","9749483",42,112
233,"*","Gasthof Diewald","Barsotti Annette-Nicole","Schaerdich Essam-Ibrahim","Raach 38","Raach","2640","1504073",21,108
430,"**","Remserhof","Felbermayer Hoger","Diefinger Hosain","Remser Dorfstrasse 17","Sankt","4300","3810507",5,19
593,"*****","Penzion Sport X","Toula Akai","Lippitt Chace","Promenade 1 3292 Gaming","Gaming","3292","2521040",28,19
102,"*","Landgasthof Winklehner","Koristchoner Ceylan","Buzin Magarita","Ringstraße 14","Sankt","4303","5381594",37,128
469,"*","Hotel Fabrik Vösendorf","Prezowsky Antonije","Bredeweg Mevlude","Ortsstraße 8-10","Vösendorf","2331","5483058",26,107
258,"****","Wellness Wanderhotel Wanzenböck","Beucig Nyanjara","Gföhler Akis","Paradiesweg 4","Puchberg","2734","2298771",46,300
14,"***","Stadthotel Deutsch Wagram","Kronberg Pascal","Wrbanac Medya","25 Hauptstrasse","Deutsch-Wagram","2232","6380240",2,19
317,"*","Pension Einsiedl","Donöl Chibuzo","Stein (Levy) Hailey-Sophie","Johannesgasse 2","Ottenschlag","3631","2225038",36,142
440,"***","Pension Margit","Helmstadt Cristof","Masek Inioluwa","Mühlgasse 15","Baden","2500","0841294",73,234
659,"*","campus Horn","Reitzner Perry","Hlassni Sheriban","Canisiusgasse 1","Horn","3580","8630072",21,84
348,"***","Landgasthof Peilsteinblick","Voglgsang Anna-Margarethe","Krpata Leo-Constantin","Stangles 41","Yspertal","3683","3663366",13,44
665,"**","Pension Klug - DorfResort Mitterbach","Patoschka Marilu","Dauber Mylene","Peterstraße 5","Mitterbach","3224","8711998",78,79
671,"**","Schwarzes Haus","Koholzer Annja-Stefanie","Lassnigg Seyhan","Hammerschmiedstraße 1","Ybbsitz","3341","5596074",58,206
459,"***","Das Reinisch Guesthouse","Wihr Lilli-Aimée","Hirschkron Maisoun","Mannswörther Straße 76","Schwechat","2320","8340399",53,94
465,"*","Pension Landhaus Semmering","Prahac Saimen","Witacek Katharina-Sophia","Hochstraße 17","Semmering","2680","9469864",10,5
604,"**","MÖRWALD Hotel Schloss Grafenegg","Maerten Jörg","Meyerhoffer George-Aron","Grafenegg 12","Grafenegg","3485","4768964",23,120
18,"****","arte Hotel Krems","Ayles Lalezar","Lindner Arkın","Dr. Karl-Dorrek-Straße 23","Krems","3500","0961562",23,155
133,"*","Babenbergerhof","Strömsdörfer Jenny-Seline","Doneus Sayeed","Wiener Straße 10","Ybbs","3370","6020494",29,18
200,"**","Pension Mariahilfberg","Greusing Paul-Henri","Hancke Dustin-Jürgen","39 Längapiesting Mariahilfberg","Gutenstein","2770","8150510",18,24
574,"*","Weinberghof Ilkerl","Ritter von Bresslern und Sternau Liesa-Marie","Frieb Aleo","Rehberger Hauptstraße 57","Krems","3500","6502641",74,114
171,"***","Landhotel Donautalblick","Cisler Mark-Lennard","Zauda Diyenka","Kirchengasse 7","Artstetten","3661","3114345",12,48
35,"***","JUFA Hotel Hochkar","Holovsky Nayeema","Lessing Nguyen","Lassing 49","Göstling","3345","0012975",35,45
280,"***","Hotel Restaurant Holzinger","Dusbaba Zeynel-Doruk","Obradil Wai","Teichgasse 2","Möllersdorf","2514","1203328",28,126
609,"****","Residenz Wachau","Bojanovsky Iraja","Stadtfeld Daouia","Dorf 19","Aggsbach","3642","7852271",27,16
262,"***","Gasthof-Pension Nordwald","Habit Lema","Kimmer Sevvalsultan","Hirschenwies 32","Hirschenwies","3970","8152697",47,358
610,"*","Villa-Angelina","Scheible Zlatica","Scheliha Erik","Wienerstraße 17","Langenzersdorf","2103","3447137",29,39
696,"*","Heurigenhof Bründlmayer","Wyborny Wesly","Pieszczek Silin","Walterstraße 14","Langenlois","3550","8671999",80,43
101,"**","Pension Weisses Lamm","Bigler Baran","Jllinek Achmed","Linzer Straße 7","Melk","3390","7199723",43,123
627,"**","Kolpingsfamilie Poysdorf","Krtzca Maurice-Pascal","Baronin von Spielmann [verh. von Segalla] Ignjat","Kolpingstraße 7","Poysdorf","2170","9836474",2,3
187,"*","A1 Motel","Romleitner Freidis","Mrasegg Tiberia","Betriebsgebiet I / 4","Inning","3383","6664168",67,85
3,"**","Hotel Rainers21","Fett Matias-Andrei","von Kendler Cecily","Liebermannstraße Campus 21","Brunn","2345","6006725",21,45
452,"**","Schmankerl und Gast","Tellar Arabella-Andreea","Marusak Aishe","Obere Hauptstraße 38","Rohrendorf","3495","6535863",39,95
675,"**","Flussbett","Zschörner Mahnaz","Mendlik Jennifer-Jacqueline","Melkerstrasse 3","Kirchberg","3204","3508170",24,45
119,"***","Hotel zur Post","Wykidall Lenea","Grünberger Mirjeta","Westbahnstr. 36","Sankt","4300","2449699",16,49
612,"*","Familienpension Sonnenhof","Fesser Noana","Panhans Anna-Irina","Sonnenwg 3","Lackenhof","3295","7728963",4,18
562,"*","Rohrendorf","Mischak Areeg","Krott Jetnisa","Johann Holzerstraße 13","Rohrendorf","3495","4627796",38,134
128,"*","Sleepin Premium Motel Loosdorf","Marchisio Michaela-Sophie","Niedereit Elyon","Gewerbestrasse 12","Loosdorf","3382","9467849",54,304
587,"**","Frühstückspension Leopold Janu","Waymayer Abdulrahman","Vechet Sanja","Unterer Markt 53","Senftenberg","3541","2417890",8,64
529,"**","Weingut & Gästezimmer Edelmann","Ober Deron","Wostry Lenie","Rosenbergstraße 31","Göttlesbrunn","2464","0120392",14,35
640,"**","Privatzimmer Familie Wagner","Rüben von Rübenfeld Perine","Wanac Tamea","Wienerstraße 33","Pöchlarn","3380","6412446",11,1
344,"*","Gästehaus Rita Schaefer","Bech Alnad","Milloch Erblina","Bärnkopf 105","Bärnkopf","3665","3797756",19,47
651,"**","Dretenpacherhof","Zalezak Naffie","Grünes Alicia-Mercedes","Trattenbach 80","Trattenbach","2881","6340360",2,4
320,"**","Wöllersdorferhof","Pischan Celiné-Michelle","Heninger Gulê","Piestingerstrasse 1","Wöllersdorf","2752","6799232",57,144
206,"***","Schliefauhof","Kozel Yordaniel","Silwan Briyanna","Schliefau 19","Randegg","3263","6592661",75,416
498,"*","Bildungshaus St. Hippolyt","Wazik Kiras","Indisch Cesario","Eybnerstraße 5","St.","3100","0823046",29,98
252,"**","Weingut Langmayer","Schöpflin Marsina","Maheczek Isik","Kirchengasse 62","Wösendorf","3610","6687686",10,51
568,"*","Ingrid und Josef Haunschmid","Riester Shakira-Magdalena","Roszival Robert-Marian","Kollmitzberg 14","Ardagger","3321","5585325",41,86
388,"****","Cityhotel D&C St.Pölten","von Mone de Also-Venitze Wafy","Fischgold Conni","Völklplatz 1","St.","3100","1249300",12,23
39,"**","Landhaus Weinblick","Spale Ilaaf","von Suchocki Feuzan","Hans Heppenheimerstrasse 4","Rohrendorf","3495","4260253",31,34
48,"****","Hotel Herzoghof","Barawitz Jasmin-Bianca","Bohdanecky Hayriye-Nur","Kaiser-Franz-Ring 10","Baden","2500","0942496",39,21
444,"*","Pension Kirchenblick","Juan Elduana","Loyda Esmana","Seilergasse 11","Tulln","3430","7773592",71,4
692,"****","Pedro's","von Schneller Nabiha","Schimmel David-Manuel","Dörfl 19","Kasten","3072","1098716",17,15
687,"***","Landgasthof Binder","Tesauer Rosie","Krayatsch Lara-Mercedes","Harbach 23","Harbach","3970","4530444",59,78
201,"**","Perbersdorfer Heuriger","Kühtreiber Ruian","Unverzagt Abuzer","Perbersdorf 14","Neuhofen","3364","3253973",47,154
367,"**","Hotel des Glücks - Landhotel Fischl","Rockinger Laurian","Stepanowsky Immü","Untere Hauptstr. 4 (St. Oswald 11)","Sankt","3684","6212823",23,99
263,"*","Gästehaus & Heuriger Turm Wachau","Padalik Ilie-Davit","Schwoisser April-Joanna","Burg 140","Weißenkirchen","3610","3662340",40,148
670,"*","CottageNumber9","Mörenz Jaka","Fáy de Fáj Jacina","Urfahr 9","Leiben","3652","5236456",10,41
274,"*","Hotel Caldor","Setril Nermin","Rathgeb Madelin","Achauerstraße 3","Münchendorf","2482","0184740",52,59
340,"**","Gästehaus Weinviertel - Niederösterreich","Podolszky Seydou","Roskopf Meihao","Siebenhirten","Siebenhirten","2130","3627131",8,41
565,"*****","Familie Obermüller","Petrakovics Dominik-Alberto","Podraschky Estella-Maria","Schwarzois 50 / Maria Seesal","Ybbsitz","3341","3042955",5,26
376,"***","Arion Airport Hotel","Miedler Carmjeef","Schiffert Umut-Cem","Mühlgasse 30","Schwechat","2320","1295906",70,419
291,"**","Brauhotel Weitra","Grasern von Strandwehr Yakim","Rienöszl Liuming","Rathausplatz 6","Weitra","3970","3103333",8,46
83,"***","Gasthof Weißes Rössl","Steffal Letitzia","Bernbacher Feeluz","Markt 17","Mühldorf","3622","2400828",38,88
688,"*","Stacher Wein und Bett","Pincoffs Solis","Rosenfeld de Bicske Jaydon","Obere Hauptstraße 16","Bad","2222","0299095",37,41
114,"***","Hotel-Gasthof Graf","Iseppic Lerjan","Uhlinger Yu","Bahnhofplatz 7","St.","3100","5002704",43,91
646,"**","Arkadenhof Fam. Schneider","Hankovsky Cem-Ali","Gaul Catina","22 Eichenbrunn","Eichenbrunn","2152","5889958",14,33
638,"***","Blockhaus-Bärnkopf","Tauterl Tsion","Freiherr von Gablenz Oliver-Liam","Bärnkopf 140","Bärnkopf","3665","4617757",96,16
345,"*","Privatzimmer Fam. Rauscher","Reel Reyna","Engster Timeia","Sportplatzgasse 13","Sierndorf","2264","2904473",54,65
16,"**","Das Alfred","Wykoukil Sajida","Angermayr Phil-Andrew","Rödlgasse 11","St.","3100","6516310",24,21
521,"***","Hotel Butter","Lamarsch Bleneta","Wucsetics Matthias-Peter","Triester Straße 32","Vösendorf","2334","8059229",4,8
139,"***","Hotel Radlinger","Alvarado-Tupny Collins","Gerula Christopher-Frederik","Lanzendorfer Str. 10","Pellendorf","2325","2580343",58,107
253,"****","Seminar-Park-Hotel Hirschwang","Gschwandner Nadie","Zehler Kilian-Migel","Trautenberg-Straße 1","Reichenau","2651","0391610",57,97
424,"**","Donauwirt Hotel - Restaurant","Plotzar Christina-Maria","Bärngruber Amail","Wachaustraße 47","Weißenkirchen","3610","8646409",27,77
78,"*","Pension zum Meridianstein","Scheidelberger Lea-Larissa","Henry Jacqueline","Schremser Strasse 40","Gmünd","3950","7286964",20,31
330,"*","Gästezimmer Wohlmuth","Ferdl Turhan","Bohac Sihaam","Seibweg 7","Spannberg","2244","7539247",57,186
624,"*","Gasthof Ludl","Fornleitner Betti","Thonet Nicky","Rathausstraße 9","Groß-Enzersdorf","2301","8837820",10,55
676,"**","Winzerhaus Kitzler","Grohsbauer Carmen-Denyse","Spang Dior","Untere Hauptstrasse 53","Rohrendorf","3495","3850416",10,18
668,"****","Hotel Die Residenz","Kothbauer Paula-Gabriela","Czauda Andreas-Felix","5 Rosenau Schloß","Schloss","3924","7006958",53,238
87,"***","Hotel Maria","Sosenik Alexander-Erol","Nutil Pia-Amata","Weinbergweg 19-21","Gramatneusiedl","2440","1806396",6,1
634,"*","Madar Café Central Melk","Wejwoda Kaplan","Freifrau Scharschmid von Adlertreu Salvador","Hauptplatz 10","Melk","3390","9606657",48,302
57,"***","City Hotel Albrecht","Spechter Erin-Iustina","von Lévay Nina-Maria","Wiener Straße 25","Schwechat","2320","8984728",24,72
287,"****","Kammer und Koppel Engelbrecht","Schrögl Li-Marie","Cohen Shirley-Kya","Am Anger 5","Höbersdorf","2011","1757936",30,7
554,"****","Hotel Garni, Pension Scheiblechner","Juschek Denille","Orednik Marie-Henriette","48 Stixenlehen","Göstling","3345","0208296",5,25
176,"**","Gasthof Polly","Fischak Rawas","Duha Jayde","Linzerstrasse 1","Haunoldstein","3384","3212277",16,55
52,"***","BS-Ötscher Hotel","Kikelj Adél","Mikschitz Ranko","Ötscherwiese 7","Lackenhof","3295","0744468",38,85
528,"***","Hotel Krug","Roszival Mary-Lynn","Kaminek von Engelshausen Kaela","Schulgasse 1","Gumpoldskirchen","2352","2276961",17,64
600,"**","Weingut Donabaum "In der Spitz"","Hannemann Ilda","Galons Barış","In der Spitz 3","Spitz","3620","1268615",84,207
644,"**","Gasthof zum guten Kameraden","Lánczy Patrik-Alexander","Greyleder Lynn-Josefine","Ortsstraße 20","Marbach","3671","3651591",11,47
224,"*","Hotel Goldene Krone","Mileder Lazare","Krunecky Daria-Gabriela","Oberhoferstraße 15","Mistelbach","2130","6883835",21,122
496,"****","Hotel Garni Weinquadrat","Hift-Herzl Damijan","Wyk Kader","Landstraße 238","Weißenkirchen","3610","4943204",8,43
686,"***","Frühstückspension Zur Blauen Traube","Schmarack Anelija","Mühlweit Karl-Hans","Ysperstraße 4","Ysper","3683","3351341",1,4
409,"***","Hotel Mariandl","Fabschitz Nurten","Lippich von Lindburg Anton-Alexander","Kremserstraße 2","Spitz","3620","9496044",35,195
591,"**","Privatzimmer Pluch","Stronczak Anouka","Merlak Daymien","Josef-Höbarthgasse 21","Horn","3580","8386315",22,53
126,"**","JoSchi Almgasthof Hochkar","Suchatsch Aleks","Kodidek Flavia-Estelle","Lassing 47","Hochkar","3345","9734430",5,24
477,"**","Wein + Bett Wiedeck","Baronesse von Vécsey Melissa-Melanie","Krombas Junia-Aimée","Am Kirchenweg 1a","Stetten","2100","0888642",107,175
267,"****","Hotel Marienhof Reichenau","Schweinburger Sara-Shirin","Streisach Sehaj","Hauptstraße 71-73","Reichenau","2651","9020721",24,9
17,"***","Hotel Zentral","Galiczenstein Reynardo","Jädige Tahany","Hauptplatz 27","Wiener","2700","8962316",59,288
275,"***","Restaurant Pension Seewolf","Steinwender Thessa-Maria","Vock Ufuk-Cem","Edlesberg 15","Gutenbrunn","3665","2354423",62,279
318,"**","A-Sissy-Hof","Rottenberger Yuri","Kranzl Anto","Hanau 1","Bischofstetten","3232","8252811",59,266
166,"**","Weingut und Gästehaus Berger","Usdin Jo-Anne","Pfund Erhard","Weinbergstraße 2","Gedersdorf","3494","9269045",66,41
511,"***","Hotel Garni Zur Post","Adamsky Vilmos","Waldsam Marta-Ana","Wiener Straße 33","Gumpoldskirchen","2352","3074820",49,46
146,"**","Madar Café Restaurant zum Fürsten","Bonstötter, Pobenstötter Tobit","Zepharovich Laura-Sofie","Rathausplatz 3","Melk","3390","5146663",4,9
513,"***","Hotel - Restaurant Martinihof","Pilhofer Vladislav","Vössner Tetteh","Rathausplatz 4","Neudörfl","7201","7489706",32,169
155,"***","Gasthof Schmölz","Bucek Shannah","Lachmuth Moiz","Hauptstraße 23","Sankt","3051","8941632",11,34
536,"**","Cäsars Privatzimmer","Gitner Fatema","Chansarel Imaru","Brünner Straße 28","Föhrenhain","2201","6822352",11,36
97,"***","Hotel Restaurant Stöckl","Durek Qahar","Kiczka Dragana","Hauptplatz 3","Bad","2405","6342884",33,162
620,"**","Gastehaus & Weingut Aigner","Lafite Michael-Christian","Römersdorfer Akain","49 Weinzierl","Krems","3500","9207240",22,34
94,"*","Waldpension Stachl","Trait Jiarui","Richtar Michelle-Saskia","Rosenbrunn  13","Bromberg","2802","8703017",16,42
485,"**","Leon's Silberwald","Schierer Alexander-Wilhelm","Trs Mesture","Bahngasse 35","Strasshof","2231","7892442",4,4
633,"**","Flackl - Wirt Seminare","Ratikowitsch Maymouna","Alvez de Carvalho Agin","Hinterleiten 12","Reichenau","2651","0010659",25,154
153,"**","Der Winzerhof","Braxmeyer Rafie","Beniger Gusti","Mühlgasse 14","Achau","2481","8570869",10,68
467,"***","Alpenhotel Ensmann","Szteffek Divinegrace","Newolka Stephanie-Erika","Lassing 55","Göstling","3345","5929740",13,37
625,"***","Gasthof zum Kirchenwirt","Blahenka Jaskirt","Gunkel Parham","Hauptplatz 4","Sankt","4300","7202705",56,206
68,"***","LifeHotel Vienna Airport","Czik Zeycan","Heymann Arhat","Marco-Polo-Straße 1/Marcotelstraße 1","Fischamend","2401","4181181",7,8
276,"*","Autobahnrestaurant & Motorhotel Zöbern","Machawetz Nerian","Fabbro Erich-Dieter","A2 Südautobahn/Oldtimerweg 1/Maierhöfen 30","Zöbern","2870","2474291",26,76
120,"****","Hotel Nibelungenhof","Auner Toshio","Bindritsch Goldmund","Donaulände 34","Tulln","3430","7353238",21,72
227,"**","Apartment mit Badeseezugang","Kopatz Arao","Zunic Princess-Kate","Pestalozzigasse 12","Hennersdorf","2332","0893423",31,193
315,"**","Gästehaus Apschner","Rackham Femi","Kotzy Selena-Sara","Sankt Corona 107","Sankt","2880","0459634",52,356
531,"****","Kuschelhotel Zeman","Kretschi Jana-Tina","Seitner Babacan","Schwechatbach 55","Alland","2534","1885969",60,43
364,"***","Voralpenhof Hofegger","Pfirstinger Ehsanullah","Goschler Rosselle","43 Rosenbühelrotte","Frankenfels","3213","0617906",48,215
310,"**","Villa Nina","Ritter von Hoffmann Kürşat","Saltowa Edonjeta","Grillparzerstraße 55","Perchtoldsdorf","2380","9849932",25,97
658,"**","Gasthof Hentsch","Olden Saeid","Schmattera Leys","Rathausplatz 8","Weitra","3970","6992585",56,51
242,"****","Schlosspark Mauerbach","Durman Misael","Porchom Pelda","Herzog-Friedrich-Platz 1","Mauerbach","3001","0723043",41,12
363,"**","Grabner vulgo Vorderbichl","Sabatowicz Samantha-Joy","Kleber Hane","Kleindurlas 12","Michelbach","3074","7944354",42,37
352,"**","Schloss Klafterbrunn","Lanek Ledejna","Fili Eçrin","Rotheau 14","Eschenau","3153","7749424",8,20
236,"***","Gasthof Zum Niederhaus - Familie Perthold","Steuer Pasqualine","Angelesen Sannet","Markt 9","Sankt","3193","0352265",17,10
110,"****","Ferienhäuser","Dionysius Jawad","Rubas Theminh","3512 Unterbergern","Unterbergern",""3512","8897234",46,40
223,"**","R&R Residenzen Hotel","Bodonyi Avalon","Peininger Shakeba","Schwurwiesenweg 1","Mitterbach","3224","1576804",7,27
